Order Number,Time Taken to Sort,Tie Break Count,Tie of Tie Break Count
1,0.008843660354614258,30,0
2,0.0050351619720458984,15,0
3,0.004656553268432617,28,0
4,0.004450559616088867,14,0
5,0.004728555679321289,16,0
6,0.006561994552612305,9,0
7,0.003944873809814453,41,0
8,0.003131389617919922,36,0
9,0.003153562545776367,23,0
10,0.003031492233276367,11,0
11,0.00445103645324707,21,0
12,0.004302263259887695,13,0
13,0.0023119449615478516,34,0
14,0.002331972122192383,25,0
15,0.001985788345336914,18,0
16,0.0019016265869140625,12,0
17,0.0018024444580078125,20,0
18,0.0016856193542480469,13,0
19,0.001554727554321289,27,0
20,0.0015556812286376953,23,0
21,0.0014011859893798828,16,0
22,0.0012481212615966797,12,0
23,0.0011477470397949219,17,0
24,0.0010271072387695312,10,0
25,0.0009849071502685547,19,0
26,0.0008673667907714844,18,0
27,0.0008022785186767578,15,0
28,0.0007123947143554688,10,0
29,0.0006136894226074219,11,0
30,0.0005550384521484375,9,0
31,0.0004987716674804688,10,0
32,0.0004673004150390625,13,0
33,0.00036597251892089844,11,0
34,0.00033545494079589844,11,0
35,0.00027298927307128906,11,0
36,0.00025653839111328125,10,0
37,0.00021123886108398438,19,0
38,0.00015425682067871094,19,0
