Order Number,Time Taken to Sort,Tie Break Count,Tie of Tie Break Count
1,3.733464479446411,10,0
2,3.9854049682617188,8,0
3,3.5896053314208984,7,0
4,3.5476622581481934,16,0
5,3.598839044570923,16,0
6,3.50466251373291,9,0
7,3.5522003173828125,7,0
8,3.481140613555908,7,0
9,3.4758055210113525,10,0
10,3.382204532623291,12,0
11,3.350329875946045,9,0
12,3.346043825149536,11,0
13,3.4099619388580322,10,0
14,3.3660690784454346,11,0
15,3.293731927871704,10,0
16,3.29909086227417,13,0
17,3.3696682453155518,10,0
18,3.2631185054779053,14,0
19,3.254347801208496,11,0
20,3.178790807723999,11,0
21,3.2440907955169678,11,0
22,3.1887054443359375,13,0
23,3.2408430576324463,13,0
24,3.252509355545044,15,0
25,3.187685966491699,12,0
26,3.2849998474121094,11,0
27,3.17537260055542,18,0
28,3.12589168548584,14,0
29,3.155670642852783,14,0
30,3.1607213020324707,11,0
31,3.1191251277923584,11,0
32,3.091512680053711,10,0
33,3.201674222946167,10,0
34,3.1396420001983643,13,0
35,3.1521377563476562,19,0
36,3.1228034496307373,18,0
37,3.090961217880249,15,0
38,3.1162467002868652,12,0
39,3.1309621334075928,11,0
40,3.054145574569702,12,0
41,3.0532925128936768,12,0
42,3.0639095306396484,13,0
43,3.077993154525757,11,0
44,3.097623109817505,11,0
45,3.0463223457336426,11,0
46,3.017385721206665,9,0
47,3.0565736293792725,13,0
48,3.0510449409484863,16,0
49,2.9788482189178467,16,0
50,2.9572277069091797,20,0
51,2.9825594425201416,16,0
52,2.971696376800537,13,0
53,2.9641308784484863,13,0
54,2.9189300537109375,11,0
55,2.9979984760284424,11,0
56,3.0371479988098145,12,0
57,2.9397473335266113,8,0
58,2.91861891746521,8,0
59,2.9809679985046387,9,0
60,2.9640464782714844,10,0
61,2.9810242652893066,12,0
62,2.9197230339050293,17,0
63,2.913707733154297,16,0
64,2.940467357635498,7,0
65,2.882722854614258,6,0
66,2.8957886695861816,10,0
67,2.860522985458374,12,0
68,2.846348762512207,18,0
69,2.860470771789551,27,0
70,2.915968179702759,18,0
71,2.8291215896606445,18,0
72,2.8002121448516846,18,0
73,2.8324906826019287,16,0
74,2.8244872093200684,18,0
75,2.859673023223877,14,0
76,2.860586643218994,15,0
77,2.8157083988189697,25,0
78,2.7723591327667236,19,0
79,2.851884365081787,17,0
80,2.899904727935791,20,0
81,2.831552028656006,22,0
82,2.7911453247070312,28,0
83,2.8102548122406006,21,0
84,2.8461685180664062,16,0
85,2.8309311866760254,17,0
86,2.797447919845581,21,0
87,2.8133137226104736,19,0
88,2.7607977390289307,16,0
89,2.7506263256073,11,0
90,2.7465503215789795,8,0
91,2.7978906631469727,9,0
92,2.758979320526123,25,0
93,2.771198034286499,29,0
94,2.7216885089874268,19,0
95,2.6786179542541504,23,0
96,2.6857569217681885,23,0
97,2.680710554122925,22,0
98,2.706261157989502,14,0
99,2.662827968597412,14,0
100,2.6347315311431885,15,0
101,2.741804599761963,27,0
102,2.7030138969421387,15,0
103,2.7203264236450195,12,0
104,2.6363120079040527,11,0
105,2.6617238521575928,16,0
106,2.6304616928100586,16,0
107,2.6519548892974854,11,0
108,2.665311574935913,12,0
109,2.7041778564453125,17,0
110,2.5922210216522217,17,0
111,2.5692567825317383,16,0
112,2.6289825439453125,21,0
113,2.667715549468994,16,0
114,2.582268476486206,13,0
115,2.5348517894744873,12,0
116,2.527878522872925,25,0
117,2.610718250274658,21,0
118,2.63279128074646,17,0
119,2.6301252841949463,15,0
120,2.5869438648223877,19,0
121,2.5220842361450195,13,0
122,2.5454022884368896,26,0
123,2.5605971813201904,28,0
124,2.552274703979492,25,0
125,2.484506607055664,18,0
126,2.4706990718841553,16,0
127,2.492859125137329,17,0
128,2.5210232734680176,16,0
129,2.5520710945129395,13,0
130,2.47133731842041,19,0
131,2.443711757659912,18,0
132,2.4667482376098633,28,0
133,2.5186400413513184,37,0
134,2.4972331523895264,31,0
135,2.4676296710968018,31,0
136,2.4046573638916016,27,0
137,2.4175338745117188,34,0
138,2.427456855773926,37,0
139,2.462510585784912,30,0
140,2.427168607711792,31,0
141,2.4133965969085693,26,0
142,2.403552770614624,24,0
143,2.420048236846924,28,0
144,2.3950998783111572,25,0
145,2.408461809158325,24,0
146,2.3886616230010986,29,0
147,2.3470520973205566,25,0
148,2.328742742538452,22,0
149,2.4033114910125732,18,0
150,2.3790054321289062,18,0
151,2.403864622116089,17,0
152,2.4069743156433105,17,0
153,2.3390607833862305,23,0
154,2.3117456436157227,22,0
155,2.3371617794036865,17,0
156,2.3829092979431152,24,0
157,2.354576587677002,29,0
158,2.3281898498535156,30,0
159,2.2923529148101807,36,0
160,2.2800629138946533,33,0
161,2.277144193649292,35,0
162,2.2712080478668213,38,0
163,2.2448842525482178,36,0
164,2.248098373413086,19,0
165,2.249882459640503,40,0
166,2.237677574157715,43,0
167,2.292536497116089,47,0
168,2.2774875164031982,73,0
169,2.2317099571228027,68,0
170,2.24664044380188,36,0
