Order Number,Time Taken to Sort,Tie Break Count,Tie of Tie Break Count
1,2.384185791015625e-06,0,0
2,0.00023365020751953125,0,6
3,0.00022149085998535156,0,15
4,0.00016546249389648438,0,5
5,0.000152587890625,0,11
6,0.00013208389282226562,0,5
7,0.00012636184692382812,0,24
8,0.0001220703125,0,23
9,0.00011658668518066406,0,17
10,0.00011706352233886719,0,17
11,0.00011229515075683594,0,16
12,0.00017499923706054688,0,15
13,0.00010609626770019531,0,12
14,0.00011706352233886719,0,20
15,0.00010275840759277344,0,22
16,0.00010466575622558594,0,28
17,0.00010180473327636719,0,25
18,0.00010538101196289062,0,24
19,0.0001087188720703125,0,23
20,8.988380432128906e-05,0,22
21,0.00010013580322265625,0,23
22,8.344650268554688e-05,0,22
23,8.225440979003906e-05,0,23
24,8.988380432128906e-05,0,22
25,7.915496826171875e-05,0,22
26,7.748603820800781e-05,0,21
27,0.00011229515075683594,0,19
28,6.914138793945312e-05,0,19
29,7.033348083496094e-05,0,18
30,0.00010967254638671875,0,17
31,8.845329284667969e-05,0,18
32,7.200241088867188e-05,0,18
33,6.842613220214844e-05,0,18
34,7.796287536621094e-05,0,16
35,6.222724914550781e-05,0,17
36,6.341934204101562e-05,0,19
37,6.0558319091796875e-05,0,18
38,5.507469177246094e-05,0,18
