Order Number,Time Taken to Sort,Tie Break Count,Tie of Tie Break Count
1,1.9073486328125e-06,0,0
2,0.022859573364257812,0,25
3,0.020106077194213867,1,3
4,0.019522666931152344,0,1
5,0.01852560043334961,4,3
6,0.018465042114257812,2,2
7,0.018944978713989258,1,3
8,0.01918482780456543,2,3
9,0.01909923553466797,1,4
10,0.017548799514770508,0,7
11,0.017496347427368164,0,9
12,0.017183303833007812,2,7
13,0.017307281494140625,1,10
14,0.017133235931396484,0,9
15,0.01681232452392578,0,10
16,0.017224550247192383,1,7
17,0.016484975814819336,1,4
18,0.016664505004882812,0,8
19,0.016735315322875977,1,7
20,0.025166988372802734,3,7
21,0.01618671417236328,2,15
22,0.016253948211669922,2,19
23,0.016834497451782227,2,8
24,0.016417980194091797,1,469
25,0.01650261878967285,1,466
26,0.016612768173217773,2,460
27,0.016599178314208984,2,455
28,0.01675868034362793,2,450
29,0.01633286476135254,2,445
30,0.016731977462768555,2,438
31,0.016503572463989258,2,432
32,0.016112327575683594,2,427
33,0.017031192779541016,2,421
34,0.0171353816986084,2,413
35,0.016521215438842773,2,411
36,0.0163729190826416,2,404
37,0.016981840133666992,2,395
38,0.016637325286865234,2,388
39,0.01608419418334961,2,382
40,0.016883373260498047,2,373
41,0.01663517951965332,2,372
42,0.01725006103515625,2,366
43,0.016399383544921875,2,363
44,0.016657590866088867,2,354
45,0.02075982093811035,2,351
46,0.016249656677246094,2,345
47,0.016818523406982422,2,342
48,0.01665472984313965,2,328
49,0.01707005500793457,2,321
50,0.01898336410522461,2,314
51,0.01655125617980957,2,304
52,0.016803503036499023,2,298
53,0.016695499420166016,2,294
54,0.016343355178833008,2,290
55,0.016002893447875977,2,289
56,0.017108440399169922,2,282
57,0.017688274383544922,2,274
58,0.016451358795166016,2,266
59,0.018817424774169922,2,255
60,0.017241716384887695,2,249
61,0.016001224517822266,2,247
62,0.016943931579589844,2,243
63,0.016790151596069336,2,239
64,0.01566338539123535,2,236
65,0.016466617584228516,2,231
66,0.016545534133911133,2,233
67,0.016637802124023438,2,232
68,0.01597452163696289,2,229
69,0.016047954559326172,2,227
70,0.01579451560974121,2,224
71,0.016583681106567383,2,225
72,0.016085147857666016,2,222
73,0.016558170318603516,2,217
74,0.016082048416137695,2,215
75,0.0163877010345459,2,209
76,0.01632094383239746,2,208
77,0.016032934188842773,2,203
78,0.015974760055541992,2,196
79,0.016325712203979492,2,193
80,0.016112804412841797,2,190
81,0.016429901123046875,2,186
82,0.016771554946899414,2,184
83,0.016836881637573242,2,179
84,0.01720142364501953,2,175
85,0.016795873641967773,2,173
86,0.016765117645263672,2,169
87,0.016826391220092773,2,163
88,0.01643967628479004,2,158
89,0.016699790954589844,2,155
90,0.016970396041870117,2,154
91,0.016202688217163086,2,150
92,0.01581406593322754,2,149
93,0.01615118980407715,2,144
94,0.015818357467651367,2,140
95,0.015452861785888672,2,135
96,0.01679205894470215,2,132
97,0.016795635223388672,2,130
98,0.01625370979309082,2,124
99,0.017153024673461914,2,122
100,0.01633000373840332,2,119
101,0.017703533172607422,2,119
102,0.01755237579345703,2,118
103,0.017447233200073242,2,117
104,0.018698930740356445,2,116
105,0.016979217529296875,2,115
106,0.017024755477905273,2,117
107,0.01698017120361328,2,116
108,0.01728224754333496,2,111
109,0.01782059669494629,2,110
110,0.01604771614074707,2,103
111,0.0161590576171875,2,101
112,0.01633620262145996,2,96
113,0.016767263412475586,2,92
114,0.016244888305664062,2,89
115,0.016845703125,2,91
116,0.01630234718322754,2,86
117,0.016195297241210938,2,88
118,0.0163571834564209,2,84
119,0.020590543746948242,2,84
120,0.016836881637573242,2,85
121,0.016331911087036133,2,82
122,0.016464710235595703,2,89
123,0.015790462493896484,2,90
124,0.015691041946411133,2,92
125,0.015749216079711914,2,90
126,0.01541900634765625,2,97
127,0.015362977981567383,2,98
128,0.015388011932373047,2,97
129,0.016004562377929688,2,95
130,0.016149282455444336,2,95
131,0.01598811149597168,2,93
132,0.016208648681640625,2,97
133,0.016421794891357422,2,95
134,0.015705585479736328,1,104
135,0.015813112258911133,1,98
136,0.017409563064575195,1,98
137,0.016103267669677734,1,95
138,0.017789840698242188,1,91
139,0.015300989151000977,1,87
140,0.019276857376098633,1,87
141,0.014898538589477539,1,77
142,0.015628337860107422,1,74
143,0.015208959579467773,1,75
144,0.015343189239501953,1,74
145,0.015434503555297852,1,70
146,0.015636205673217773,1,65
147,0.015180587768554688,1,81
148,0.015618085861206055,1,84
149,0.016118288040161133,1,100
150,0.015552997589111328,1,140
151,0.014867782592773438,1,142
152,0.014926671981811523,1,140
153,0.016088485717773438,1,254
154,0.015036344528198242,0,275
155,0.015243768692016602,0,333
156,0.014972209930419922,0,379
157,0.015405416488647461,0,375
158,0.01505279541015625,1,373
159,0.015035152435302734,1,373
160,0.019314050674438477,1,371
161,0.015992164611816406,1,367
162,0.015264034271240234,1,359
163,0.015891313552856445,1,355
164,0.01559758186340332,1,352
165,0.01609516143798828,1,351
166,0.01625847816467285,1,349
167,0.01527094841003418,1,345
168,0.015255928039550781,1,345
169,0.016264915466308594,1,341
170,0.017037391662597656,1,342
171,0.016824007034301758,1,338
172,0.018049240112304688,1,332
173,0.017252445220947266,1,329
174,0.01689910888671875,1,326
175,0.017453670501708984,1,324
176,0.016130447387695312,1,320
177,0.015995502471923828,1,320
178,0.01815962791442871,1,319
179,0.017474651336669922,1,317
180,0.017173290252685547,1,314
181,0.016512632369995117,1,311
182,0.01713395118713379,1,308
183,0.01634955406188965,1,307
184,0.01666569709777832,1,306
185,0.018110990524291992,1,304
186,0.016783714294433594,1,299
187,0.016969680786132812,1,295
188,0.016561031341552734,1,290
189,0.015918970108032227,1,290
190,0.015487432479858398,1,287
191,0.01586604118347168,1,282
192,0.016387939453125,1,278
193,0.016082048416137695,1,274
194,0.018767833709716797,1,272
195,0.015003442764282227,1,266
196,0.015147686004638672,1,263
197,0.01520085334777832,1,261
198,0.015128374099731445,1,259
199,0.015766143798828125,1,255
200,0.014775514602661133,1,251
201,0.015063285827636719,1,249
202,0.014878988265991211,1,247
203,0.015906095504760742,1,245
204,0.015000581741333008,1,245
205,0.01572418212890625,1,242
206,0.014844179153442383,1,241
207,0.015457630157470703,1,234
208,0.015247106552124023,1,232
209,0.015473365783691406,1,230
210,0.015545368194580078,1,231
211,0.015389204025268555,1,231
212,0.015203714370727539,1,225
213,0.015661239624023438,1,224
214,0.01624774932861328,1,223
215,0.015822410583496094,1,227
216,0.015324592590332031,1,224
217,0.01499629020690918,1,225
218,0.015272378921508789,1,222
219,0.015858888626098633,1,219
220,0.015333175659179688,1,220
221,0.015109062194824219,1,216
222,0.015327930450439453,1,216
223,0.01529836654663086,1,214
224,0.014807701110839844,1,214
225,0.015625476837158203,1,212
226,0.01552891731262207,1,211
227,0.015230655670166016,1,210
228,0.014806032180786133,1,208
229,0.015221595764160156,1,208
230,0.014997243881225586,1,207
231,0.01571345329284668,1,204
232,0.015403985977172852,1,200
233,0.014866828918457031,1,199
234,0.014399290084838867,1,198
235,0.015550851821899414,1,196
