Order Number,Time Taken to Sort,Tie Break Count,Tie of Tie Break Count
1,3.337860107421875e-06,0,0
2,0.0018532276153564453,0,35
3,0.0014963150024414062,0,15
4,0.001512765884399414,0,39
5,0.0014748573303222656,0,19
6,0.0013875961303710938,0,26
7,0.0013668537139892578,0,13
8,0.0013670921325683594,0,102
9,0.0013434886932373047,0,86
10,0.0012547969818115234,0,57
11,0.0013642311096191406,0,34
12,0.0012440681457519531,0,13
13,0.001279592514038086,0,13
14,0.0013208389282226562,0,29
15,0.0013318061828613281,0,28
16,0.0011594295501708984,0,24
17,0.0011892318725585938,0,19
18,0.0012874603271484375,0,13
19,0.0013439655303955078,0,12
20,0.0020623207092285156,0,39
21,0.001859426498413086,0,33
22,0.00168609619140625,0,31
23,0.001249074935913086,0,21
24,0.0012993812561035156,0,23
25,0.0011696815490722656,0,29
26,0.0011873245239257812,0,31
27,0.0011963844299316406,0,40
28,0.0011501312255859375,0,36
29,0.0011115074157714844,0,42
30,0.0011239051818847656,0,84
31,0.0010769367218017578,0,85
32,0.0010683536529541016,0,83
33,0.0010747909545898438,0,81
34,0.0011763572692871094,0,77
35,0.001070261001586914,0,75
36,0.001058816909790039,0,75
37,0.0011310577392578125,0,75
38,0.0010552406311035156,0,74
39,0.001046895980834961,0,72
40,0.0011441707611083984,0,68
41,0.0011126995086669922,0,65
42,0.0010809898376464844,0,65
43,0.0010523796081542969,0,69
44,0.0011246204376220703,0,65
45,0.0009911060333251953,0,67
46,0.0009932518005371094,0,69
47,0.0011458396911621094,0,73
48,0.0009794235229492188,0,79
49,0.0010058879852294922,0,75
50,0.0011098384857177734,0,75
51,0.0010075569152832031,0,74
52,0.001035451889038086,0,76
53,0.0010037422180175781,0,74
54,0.0010523796081542969,0,75
55,0.0009489059448242188,0,74
56,0.0009379386901855469,0,74
57,0.001093149185180664,0,76
58,0.0009539127349853516,0,79
59,0.0009770393371582031,0,80
60,0.0010037422180175781,0,82
61,0.0010006427764892578,0,84
62,0.0009176731109619141,0,90
63,0.0009150505065917969,0,92
64,0.001028299331665039,0,97
65,0.0009448528289794922,0,97
66,0.0010035037994384766,0,95
67,0.0008869171142578125,0,94
68,0.0009257793426513672,0,95
69,0.0008854866027832031,0,98
70,0.0009360313415527344,0,97
71,0.0009233951568603516,0,111
72,0.000919342041015625,0,117
73,0.0010085105895996094,0,116
74,0.0009531974792480469,0,116
75,0.0008680820465087891,0,116
76,0.0008993148803710938,0,115
77,0.0009081363677978516,0,113
78,0.0009391307830810547,0,114
79,0.0008809566497802734,0,117
80,0.0009393692016601562,0,114
81,0.000881195068359375,0,113
82,0.000835418701171875,0,111
83,0.0008726119995117188,0,111
84,0.0008323192596435547,0,113
85,0.0008246898651123047,0,112
86,0.0008363723754882812,0,111
87,0.000904083251953125,0,110
88,0.000850677490234375,0,109
89,0.0008122920989990234,0,107
90,0.0008559226989746094,0,105
91,0.0008416175842285156,0,103
92,0.0008349418640136719,0,103
93,0.0007941722869873047,0,101
94,0.0007946491241455078,0,101
95,0.0008549690246582031,0,106
96,0.0008032321929931641,0,107
97,0.0007715225219726562,0,109
98,0.0007634162902832031,0,107
99,0.0007688999176025391,0,107
100,0.0008649826049804688,0,109
101,0.0009372234344482422,0,108
102,0.0007531642913818359,0,113
103,0.0008192062377929688,0,113
104,0.0007982254028320312,0,122
105,0.0007483959197998047,0,122
106,0.0007481575012207031,0,121
107,0.0007789134979248047,0,124
108,0.0007379055023193359,0,123
109,0.00079345703125,0,128
110,0.0007331371307373047,0,127
111,0.0007889270782470703,0,128
112,0.0007255077362060547,0,128
113,0.0012209415435791016,0,128
114,0.0007035732269287109,0,129
115,0.0012540817260742188,0,132
116,0.001436471939086914,0,132
117,0.0012977123260498047,0,131
118,0.0012853145599365234,0,130
119,0.001611948013305664,0,133
120,0.0012123584747314453,0,137
121,0.0012896060943603516,0,141
122,0.0011403560638427734,0,139
123,0.0011148452758789062,0,143
124,0.0011019706726074219,0,142
125,0.001093149185180664,0,158
126,0.0010678768157958984,0,157
127,0.0010485649108886719,0,167
128,0.0010747909545898438,0,167
129,0.0010581016540527344,0,169
130,0.001001596450805664,0,182
